A,B,Support,Confidence,Lift
04:1b:ba:7f:c9:27,ivaleriano,0.024686651098508317,1.0,10.860766045548655
0a:32:e1:06:a2:89,gonzalo.mendez,0.01971834342086451,1.0,14.668297797972738
14:56:8e:f1:0a:79,humberto.guale,0.04707382166515751,1.0,21.243229562136168
34:13:e8:34:af:1c,oscar.moreno,0.06856741171424487,1.0,10.905925155925155
3c:91:80:24:40:e9,cti\danny.torres,0.004646618691321546,1.0,215.21025641025642
6a:3f:63:6d:5b:f9,xavier.aizaga,0.02543725873326026,1.0,32.51917861294072
6e:ec:41:dd:0f:47,patricio.mendoza,0.009364723824048038,1.0,3.3578172507601214
7a:50:6c:eb:e5:f9,gonzalo.mendez,0.023090120573797838,1.0,14.668297797972738
84:1b:77:83:aa:c2,andres.wong,0.009162178906734023,1.0,109.14434330299089
9c:5a:81:cb:00:23,ivaleriano,0.04607301148548825,1.0,10.860766045548655
9c:b6:d0:10:22:6b,leonardo.eras,0.0415693656769766,1.0,24.05617655488679
9c:b6:d0:10:22:6d,caril.martinez,0.12078825716055855,1.0,8.278950483330044
ac:29:3a:9e:d7:8f,patricio.mendoza,0.28844779106896057,1.0,3.3578172507601214
ac:af:b9:33:65:e8,fernando.campana,0.08629604918267168,1.0,11.588016015463205
b0:a4:60:23:02:d0,cti\xavier.aizaga,0.037852070723919364,1.0,26.212367270455964
d8:c0:a6:fa:fd:d5,yandrade,0.02756993756850784,1.0,36.271391529818494
e0:dc:ff:03:1a:bd,oscar.moreno,0.02312586379450031,1.0,10.905925155925155
f4:0f:24:1e:cd:c1,gonzalo.mendez,0.025365772291855312,1.0,14.668297797972738
30:07:4d:99:9d:38,gjimenez,0.015989450259622517,1.0,58.61352657004831
3c:91:80:2d:8c:b3,CTI\ivaleriano,0.027693068490892606,1.0,36.11011904761905
4c:d1:a1:b4:60:2d,ivaleriano,0.02579741201681365,1.0,14.960542540073982
60:14:b3:60:c2:0f,xavier.aizaga,0.028929366191378883,1.0,14.274117647058823
90:cc:df:78:ab:18,xavier.aizaga,0.007829885436413088,1.0,14.274117647058823
a2:2f:49:f4:b2:82,vecheverria,0.00560454957553779,1.0,118.95098039215688
